product_id,product_name,product_type,provider,min_income,risk_level,interest_rate,tenure_months,annual_fee,category,key_feature
MF001,HDFC Top 100 Fund,Equity Mutual Fund,HDFC Asset Management,25000,High,16.5,0,0.43,Growth,Large cap focus
MF002,Axis Focused 25 Fund,Equity Mutual Fund,Axis Asset Management,50000,High,18.2,0,0.66,Growth,Concentrated portfolio
MF003,SBI Balanced Advantage,Balanced Mutual Fund,SBI Mutual Fund,50000,Medium,12.0,0,0.65,Hybrid,Dynamic equity exposure
MF004,ICICI Prudential Nifty Next 50,Equity Mutual Fund,ICICI Prudential,25000,High,17.8,0,0.55,Growth,Mid-cap exposure
MF005,Mirae Asset Emerging Bluechip,Equity Mutual Fund,Mirae Asset,25000,High,17.5,0,0.71,Growth,Emerging leaders
MF006,Kotak Standard Multicap Fund,Equity Mutual Fund,Kotak Mahindra,50000,Medium,14.2,0,0.60,Growth,Multi-cap blend
MF007,UTIMF Dividend Yield Fund,Equity Mutual Fund,UTI,50000,High,13.8,0,0.63,Growth,Dividend focus
MF008,DSP Top 100 Equity Fund,Equity Mutual Fund,DSP Investment,25000,High,16.8,0,0.65,Growth,Quality focus
MF009,Aditya Birla Sun Life Equity Fund,Equity Mutual Fund,Aditya Birla Sun Life,50000,High,15.6,0,0.67,Growth,Core portfolio
MF010,Sundaram Mid-Cap Fund,Equity Mutual Fund,Sundaram Mutual,25000,High,17.2,0,0.61,Growth,Mid-cap focus
MF011,HDFC Short Term Debt Fund,Debt Mutual Fund,HDFC Asset Management,100000,Low,6.5,0,0.30,Conservative,Capital protection
MF012,SBI Banking & PSU Fund,Debt Mutual Fund,SBI Mutual Fund,100000,Low,7.2,0,0.35,Conservative,PSU exposure
MF013,ICICI Prudential Liquid Fund,Debt Mutual Fund,ICICI Prudential,50000,Low,5.8,0,0.25,Conservative,Liquidity focus
MF014,Axis Ultra Short Fund,Debt Mutual Fund,Axis Asset Management,100000,Low,6.8,0,0.28,Conservative,Low volatility
